2026-06-07T06:31:12.471920 | ID:1 | fall | 检测到人员摔倒
2026-06-07T06:31:12.472201 | ID:2 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:31:12.472287 | ID:3 | fall | 检测到人员摔倒
2026-06-07T06:31:13.480248 | ID:4 | fall | 检测到人员摔倒
2026-06-07T06:31:13.480457 | ID:5 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:31:13.480517 | ID:6 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:31:13.480563 | ID:7 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:31:15.481750 | ID:8 | fall | 检测到人员摔倒
2026-06-07T06:31:15.482062 | ID:9 | fire_exit_parking | ⚠ 消防通道停车
2026-06-07T06:38:45.773750 | ID:1 | fall | 检测到人员摔倒
2026-06-07T06:38:45.773973 | ID:2 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:38:45.774052 | ID:3 | fall | 检测到人员摔倒
2026-06-07T06:38:45.774115 | ID:4 | fall | 检测到人员摔倒
2026-06-07T06:38:46.780596 | ID:5 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:38:46.780789 | ID:6 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:38:46.780859 | ID:7 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:38:48.782231 | ID:8 | fall | 检测到人员摔倒
2026-06-07T06:38:48.782711 | ID:9 | fall | 检测到人员摔倒
2026-06-07T06:38:49.784828 | ID:10 | fall | 检测到人员摔倒
2026-06-07T06:38:49.785398 | ID:11 | fall | 检测到人员摔倒
2026-06-07T06:38:49.785764 | ID:12 | fall | 检测到人员摔倒
2026-06-07T06:38:49.786033 | ID:13 | fall | 检测到人员摔倒
2026-06-07T06:38:49.786287 | ID:14 | fall | 检测到人员摔倒
2026-06-07T06:38:49.786511 | ID:15 | fall | 检测到人员摔倒
2026-06-07T06:38:49.786763 | ID:16 | fall | 检测到人员摔倒
2026-06-07T06:38:50.788567 | ID:17 | fall | 检测到人员摔倒
2026-06-07T06:38:50.788823 | ID:18 | fall | 检测到人员摔倒
2026-06-07T06:38:58.794765 | ID:19 | fall | 检测到人员摔倒
2026-06-07T06:38:58.795075 | ID:20 | fire_exit | ⚠ 消防通道占用
2026-06-07T06:38:58.795177 | ID:21 | fall | 检测到人员摔倒
2026-06-07T06:38:59.803805 | ID:22 | fall | 检测到人员摔倒
