2026-06-05T01:48:50.304585 | ID:1 | fall | 检测到人员摔倒
2026-06-05T01:48:52.314001 | ID:2 | fall | 检测到人员摔倒
2026-06-05T01:48:53.314607 | ID:3 | fall | 检测到人员摔倒
2026-06-05T01:48:53.314834 | ID:4 | fall | 检测到人员摔倒
2026-06-05T01:48:53.314908 | ID:5 | fall | 检测到人员摔倒
2026-06-05T01:48:53.314967 | ID:6 | fall | 检测到人员摔倒
2026-06-05T01:48:53.315028 | ID:7 | fall | 检测到人员摔倒
2026-06-05T01:48:54.315298 | ID:8 | fall | 检测到人员摔倒
2026-06-05T01:48:54.315572 | ID:9 | fall | 检测到人员摔倒
2026-06-05T01:49:02.325666 | ID:10 | fall | 检测到人员摔倒
2026-06-05T01:49:02.326189 | ID:11 | fall | 检测到人员摔倒
2026-06-05T01:49:03.327098 | ID:12 | fall | 检测到人员摔倒
2026-06-05T01:49:04.328249 | ID:13 | fall | 检测到人员摔倒
2026-06-05T01:49:04.328474 | ID:14 | fall | 检测到人员摔倒
2026-06-05T01:49:05.328676 | ID:15 | fall | 检测到人员摔倒
2026-06-05T01:49:06.329084 | ID:16 | fall | 检测到人员摔倒
2026-06-05T01:49:06.329445 | ID:17 | fall | 检测到人员摔倒
2026-06-05T01:49:06.329576 | ID:18 | fall | 检测到人员摔倒
2026-06-05T01:49:06.329681 | ID:19 | fall | 检测到人员摔倒
2026-06-05T01:49:17.345912 | ID:20 | fall | 检测到人员摔倒
2026-06-05T01:49:18.346825 | ID:21 | fall | 检测到人员摔倒
2026-06-05T01:49:18.347118 | ID:22 | fall | 检测到人员摔倒
2026-06-05T01:49:18.347212 | ID:23 | fall | 检测到人员摔倒
2026-06-05T01:49:18.347283 | ID:24 | fall | 检测到人员摔倒
2026-06-05T01:49:18.347350 | ID:25 | fall | 检测到人员摔倒
2026-06-05T01:49:19.351163 | ID:26 | fall | 检测到人员摔倒
2026-06-05T01:49:27.359510 | ID:27 | fall | 检测到人员摔倒
2026-06-05T01:49:28.360746 | ID:28 | fall | 检测到人员摔倒
2026-06-05T01:49:29.369725 | ID:29 | fall | 检测到人员摔倒
2026-06-05T01:49:29.369945 | ID:30 | fall | 检测到人员摔倒
2026-06-05T01:49:29.369996 | ID:31 | fall | 检测到人员摔倒
2026-06-05T01:49:29.370036 | ID:32 | fall | 检测到人员摔倒
2026-06-05T01:49:30.370816 | ID:33 | fall | 检测到人员摔倒
2026-06-05T01:49:30.371255 | ID:34 | fall | 检测到人员摔倒
2026-06-05T01:49:30.371425 | ID:35 | fall | 检测到人员摔倒
2026-06-05T01:49:37.388265 | ID:36 | fall | 检测到人员摔倒
2026-06-05T01:49:37.388687 | ID:37 | fall | 检测到人员摔倒
2026-06-05T01:49:38.389952 | ID:38 | fall | 检测到人员摔倒
2026-06-05T01:49:39.390897 | ID:39 | fall | 检测到人员摔倒
2026-06-05T01:49:39.391238 | ID:40 | fall | 检测到人员摔倒
2026-06-05T01:49:40.392224 | ID:41 | fall | 检测到人员摔倒
2026-06-05T01:49:40.392438 | ID:42 | fall | 检测到人员摔倒
2026-06-05T01:49:40.392489 | ID:43 | fall | 检测到人员摔倒
2026-06-05T01:49:41.392820 | ID:44 | fall | 检测到人员摔倒
2026-06-05T01:49:41.393255 | ID:45 | fall | 检测到人员摔倒
2026-06-05T01:49:50.426576 | ID:46 | fall | 检测到人员摔倒
2026-06-05T01:49:51.427016 | ID:47 | fall | 检测到人员摔倒
2026-06-05T01:49:51.427234 | ID:48 | fall | 检测到人员摔倒
